kv_type,ctx,run,exit,prompt_tokens,pp_tps,gen_tokens,tg_tps,peak_rss_kb,kv_buffer_mib
f16,16384,1,?,,,,,,
f16,2048,1,0,1657,18.94,255,13.46,5294400,
f16,2048,2,0,1657,18.94,255,13.41,5294448,
f16,2048,3,0,1657,18.94,255,13.48,5294460,
f16,2048,4,0,1657,18.9,255,13.31,5294632,
f16,8192,1,0,7789,5.73,255,6.78,6185484,
f16,8192,2,0,7789,5.73,255,6.78,6185436,
f16,8192,3,0,7789,5.73,255,6.79,6185420,
f16,8192,4,0,7789,5.73,255,6.81,6185440,
q4_0,2048,1,0,1657,30.32,255,11.64,5082752,
q4_0,2048,2,0,1657,30.3,255,11.63,5082520,
q4_0,2048,3,0,1657,30.3,255,11.66,5082704,
q4_0,2048,4,0,1657,30.35,255,11.65,5082872,
q4_0,8192,1,0,7789,11.64,255,5.08,5339896,
q4_0,8192,2,0,7789,11.63,255,5.08,5340000,
q4_0,8192,3,0,7789,11.64,255,5.09,5339872,
q4_0,8192,4,0,7789,11.64,255,5.08,5340036,
q8_0,2048,1,0,1657,30.86,255,11.69,5156468,
q8_0,2048,2,0,1657,30.94,255,11.68,5156472,
q8_0,2048,3,0,1657,30.86,255,11.69,5156292,
q8_0,2048,4,0,1657,30.87,255,11.67,5156236,
q8_0,8192,1,0,7789,11.55,255,5.03,5634968,
q8_0,8192,2,0,7789,11.55,255,5.04,5634652,
q8_0,8192,3,0,7789,11.56,255,5.04,5634604,
q8_0,8192,4,0,7789,11.55,255,5.03,5634776,
